season_year,season,pm25_mean,pm25_median,pm25_q10,pm25_q90,min_value,max_value
2016,Spring,13.65065258916738,11.897412286124071,5.287713443171181,23.811918795720786,0.0,115.9091880253982
2016,Winter,19.61928763509742,13.333719359401096,5.267818543768062,37.21759043173733,0.0,217.8029328857834
2017,Autumn,117.11440485546004,77.39738901062329,16.337946148107324,285.45844591357866,0.0,553.379086690816
2017,Spring,93.32023968158326,58.617815285471735,23.24417060879551,216.51481100312049,0.0,537.0285451205675
2017,Summer,19.543070250497586,10.144142209994172,3.2354899016394914,51.01182781485338,0.0,226.62746236899417
2017,Winter,155.7134185218562,111.00672244660578,23.8196431331298,373.0622445083589,0.0,1280.7790050409003
2018,Autumn,176.69485171867552,123.06500844024762,31.962487740272017,409.7738991066972,8.64637810921592,818.1309217784124
2018,Spring,54.56116351257515,33.38627644430184,14.865804594148374,116.42168468247644,0.8684799887795145,696.2324400424571
2018,Summer,60.63916768502315,41.123264793441194,18.83947713729675,130.694029711374,3.693213119941692,454.24569459730543
2018,Winter,147.54543075041616,71.79594382259543,23.437328659033835,405.5720659415294,3.877560699877974,901.086773060692
2019,Autumn,91.89938995920384,52.64550354629941,16.90493682815486,230.1700648060362,3.0084423157789457,511.3665880484265
2019,Spring,32.01790102568173,21.129970559577224,9.8728689292325,68.00569723763007,2.485740843929727,225.50983220963437
2019,Summer,34.58209074424227,23.88557925806586,11.732403609316249,70.79258598817152,0.2338450800520009,255.32145942774008
2019,Winter,93.7477819591128,52.262144834003266,19.982886320016963,232.51041056937535,3.59844202298868,826.2484243459766
2020,Autumn,26.77391955139167,22.69249185141794,11.003723224908194,48.7763372802874,2.442632557758246,134.27223585984814
2020,Spring,20.70710743095974,17.318936677941544,8.530126690468128,36.47094507423041,2.359162899222812,115.02828119074157
2020,Summer,16.92680515234241,14.417199639255458,6.696370951759106,29.70850284410832,1.879739218980402,106.08940433835065
2020,Winter,33.90189861183679,25.97404998775451,9.966623355677047,68.63988696400506,2.4017308654687386,177.83542734133124
2021,Autumn,34.99596061108624,26.19762000495467,11.871146773282469,71.38487263183343,2.5875955053869317,199.4711912909854
2021,Spring,19.265767712649165,16.158744667102646,7.909999728721137,34.37320595677508,2.065947857232686,128.88182200098387
2021,Summer,22.19864267895579,17.227633541949672,7.693842810715306,43.812662407451455,1.5327237940381948,125.80032605368476
2021,Winter,40.875552402701,29.33654413412184,12.20009497870933,90.60793349118072,0.2574547754473035,224.50377802949964
2022,Autumn,30.42800574837935,23.300981861933245,10.233190800717624,61.94724525480173,2.7152325174575673,147.47045786232496
2022,Spring,24.271059690324925,20.550721193156,10.552560739759324,43.57911296783469,2.8076626664622713,108.17826607150822
2022,Summer,19.350240482002423,15.878606327226828,8.519533458193852,35.375799411186705,2.2532695367680424,92.01624132734092
2022,Winter,40.08876029375295,29.947124165101528,13.82145166864199,82.59558403376731,3.0661383859226663,213.1332829199332
2023,Autumn,23.67175182937671,19.023295827480524,11.22309045697989,43.35475907168985,5.275162084927842,126.92129303104592
2023,Spring,17.8601867856751,14.74120825406544,7.619159880789539,32.6384235194155,1.8477835928010224,82.69051932074944
2023,Summer,21.78170089188981,16.71374566952339,8.754727667601095,43.64037784818302,2.9286388869564917,110.19435675052593
2023,Winter,34.1009197302935,23.114466785045806,11.356956974850618,75.85010450839037,2.393684361834403,191.6364453791175
2024,Autumn,27.70769825068957,20.228171138114703,8.292784592356384,58.236656741428305,1.0487650747847963,158.16112863831222
2024,Spring,17.548563189523463,13.911583884862466,7.290199066645187,31.995021387842822,1.9576895660122773,113.34043392707828
2024,Summer,19.620175782253156,15.486958382382454,7.827935899484828,37.834161759064955,1.2900648327374142,87.22316380271877
2024,Winter,34.04975379396144,22.52025499416277,10.035376529771156,77.24175432599621,3.1652689358452335,211.64191821299028
2025,Summer,16.66259082851817,14.253652036444464,8.288195019190425,27.7093914036186,2.395904585839048,80.93885384141686
