date,tmax,tmin,tmean,n_hours,diurnal_range
2014-01-01,25.527685546874977,12.910462443033907,19.364170173362456,24,12.61722310384107
2014-01-02,27.871487765842005,13.672585381401916,21.271240658230266,24,14.198902384440089
2014-01-03,27.461270141601577,15.68347608778214,21.4745702955458,24,11.777794053819438
2014-01-04,26.59992099338109,14.19957851833766,20.88872184753419,24,12.40034247504343
2014-01-05,25.74532063802087,14.803909979926232,20.832111952039952,24,10.94141065809464
2014-01-06,22.690457153320324,16.84234076605901,19.2654500325521,24,5.848116387261314
2014-01-07,25.00207383897572,16.317038981119822,20.782591629028328,24,8.685034857855896
2014-01-08,22.897207302517415,15.959811740451414,19.357288713808426,24,6.937395562066001
2014-01-09,25.81971096462672,16.34894510904951,20.442208297164356,24,9.47076585557721
2014-01-10,27.348312038845503,16.91992662217882,21.706424515335666,24,10.428385416666682
2014-01-11,28.106851874457448,13.12287394205731,21.947761592158574,24,14.983977932400137
2014-01-12,27.49015401204429,16.8604902479384,21.852129985668046,24,10.629663764105889
2014-01-13,29.390171644422765,15.721760050455714,22.915220755117918,24,13.66841159396705
2014-01-14,25.13429124620228,16.56421474880642,20.336461808946403,24,8.57007649739586
2014-01-15,28.09770067003041,15.386357964409797,21.635555337976545,24,12.711342705620613
2014-01-16,29.883381822374133,17.674485948350707,23.56904476307058,24,12.208895874023426
2014-01-17,30.344735378689226,14.178114488389724,22.950502649943036,24,16.1666208902995
2014-01-18,29.48938429090714,15.322332763671907,23.31261677212186,24,14.167051527235232
2014-01-19,25.949943033854197,15.747222222222264,19.571652433607323,24,10.202720811631933
2014-01-20,26.274276733398494,14.187184312608563,19.715623502378122,24,12.087092420789931
2014-01-21,24.97966139051653,15.161311848958348,20.007175162986478,24,9.818349541558181
2014-01-22,25.36778191460502,14.378725179036508,20.20546305621114,24,10.98905673556851
2014-01-23,26.4501922607422,15.209649658203148,20.974042313187223,24,11.240542602539051
2014-01-24,28.037796020507812,16.135026041666663,22.111741666440622,24,11.90276997884115
2014-01-25,28.769865926106775,16.98854675292972,22.726304301509174,24,11.781319173177053
2014-01-26,25.861600409613743,16.518352593315967,20.55283994321472,24,9.343247816297776
2014-01-27,22.053811984592016,16.051367187499977,19.16121320371276,24,6.002444797092039
2014-01-28,23.000080023871533,15.229582722981776,19.299288558959976,24,7.770497300889756
2014-01-29,22.9636416965061,15.410926988389804,19.71387504295068,24,7.552714708116298
2014-01-30,22.863132052951418,17.804720730251745,20.25491738496004,24,5.058411322699673
2014-01-31,21.41454128689236,16.887257554796008,18.74058853431985,24,4.52728373209635
2014-02-01,23.192384507920963,16.844084337022593,19.532450358072918,24,6.348300170898369
2014-02-02,24.95408867730032,17.03498297797313,20.078892644246427,24,7.91910569932719
2014-02-03,20.692102389865457,17.029548814561622,18.432329926667396,24,3.6625535753038356
2014-02-04,23.053022596571225,15.858248562282997,18.84212900797528,24,7.194774034288228
2014-02-05,22.477314927842883,14.729457600911472,18.76694470158331,24,7.7478573269314115
2014-02-06,24.83215874565974,16.762968275282105,20.338475700660997,24,8.069190470377634
2014-02-07,23.70252956814238,16.553873358832504,19.947737390023697,24,7.148656209309877
2014-02-08,24.158438449435774,16.19237535264756,19.914527836552377,24,7.966063096788215
2014-02-09,22.608519829644138,16.036305406358508,19.40479945430051,24,6.572214423285629
2014-02-10,23.2768585205078,14.801337348090271,19.626157944290732,24,8.47552117241753
2014-02-11,27.448267618815123,14.527267795138869,20.717862602516465,24,12.920999823676254
2014-02-12,28.12612508138028,13.010551283094683,21.03017816896794,24,15.115573798285597
2014-02-13,26.87781507703994,11.61634792751738,19.971823770028585,24,15.261467149522561
2014-02-14,25.349089898003513,15.546021864149282,20.152235257184074,24,9.803068033854231
2014-02-15,26.000050523546008,15.142169189453114,19.98579429343896,24,10.857881334092895
2014-02-16,27.017313978407117,11.842011854383657,19.8996765419289,24,15.17530212402346
2014-02-17,26.12821723090275,13.34082675509984,19.67762624952529,24,12.787390475802908
2014-02-18,26.87292141384546,12.67011142306859,20.63656849331327,24,14.20280999077687
2014-02-19,25.832239447699635,16.336780124240477,20.248002144142443,24,9.495459323459158
2014-02-20,24.886030409071168,15.703640407986144,19.58720669216581,24,9.182390001085023
2014-02-21,25.61352878146704,15.014516533745676,19.246550001921495,24,10.599012247721364
2014-02-22,23.39454311794708,15.519466484917588,18.840639453464092,24,7.875076633029492
2014-02-23,23.490268961588583,15.807769436306444,19.046377210263866,24,7.6824995252821395
2014-02-24,24.23515896267361,15.47138468424481,19.07356575859918,24,8.763774278428798
2014-02-25,23.688347371419297,15.842574395073823,18.701785659790055,24,7.845772976345474
2014-02-26,21.506315782335093,14.570365397135449,17.724772898356136,24,6.935950385199645
2014-02-27,22.241123792860265,14.433928765191013,17.753231048583995,24,7.807195027669252
2014-02-28,24.064849853515625,13.427988349066824,19.034562245121723,24,10.6368615044488
2014-03-01,20.9566619873047,14.02978244357638,17.481537924872516,24,6.926879543728319
2014-03-02,18.071672227647586,13.390340847439234,15.914657112404155,24,4.681331380208352
2014-03-03,20.529387071397593,14.894704522026927,17.24828176145202,24,5.634682549370666
2014-03-04,20.419224717881946,15.831273735894058,17.175389805546533,24,4.587950981987888
2014-03-05,20.683034600151927,16.110263739691845,17.660970320525013,24,4.572770860460082
2014-03-06,22.04041408962678,15.80194736056859,18.343328617237244,24,6.238466729058189
2014-03-07,22.89502563476566,15.263212754991343,18.225866077564394,24,7.631812879774316
2014-03-08,23.206691826714405,13.56549987792971,18.393916094744657,24,9.641191948784694
2014-03-09,22.616640896267313,15.019402737087717,18.014558099817354,24,7.5972381591795966
2014-03-10,21.588694593641492,14.5931386311849,16.981341411449304,24,6.995555962456592
2014-03-11,17.712006293402794,14.362818400065123,16.08568396391694,24,3.349187893337671
2014-03-12,23.08276706271704,15.96925150553392,18.969357921459068,24,7.113515557183119
2014-03-13,21.099521891276027,13.147853597005223,16.500178598474587,24,7.951668294270803
2014-03-14,17.72168782552086,12.374184502495666,15.309884784839783,24,5.347503323025194
2014-03-15,22.094602796766537,13.008501858181432,17.13190335874205,24,9.086100938585105
2014-03-16,23.522621324327247,12.502531941731776,18.45595089947736,24,11.02008938259547
2014-03-17,24.211226399739587,13.52405598958336,18.611308302702746,24,10.687170410156227
2014-03-18,23.72123480902775,12.503600735134512,18.30829990528249,24,11.217634073893237
2014-03-19,23.88275722927517,15.153317938910618,19.022200761017984,24,8.729439290364553
