season_year,season,pm25_mean,pm25_median,pm25_q25,pm25_q75,pm25_q10,pm25_q90,pm25_iqr,pm25_std,pm25_min,pm25_max,pm25_count
2016,Spring,13.65065258916738,11.897412286124073,7.973875679403783,17.349233673623026,5.287713443171181,23.811918795720786,9.375357994219243,8.756188679549616,0.0,115.9091880253982,7462.0
2016,Winter,19.61928763509742,13.333719359401096,8.035792168433666,22.65120754211344,5.267818543768062,37.21759043173733,14.615415373679774,21.671595700253345,0.0,217.8029328857834,4115.0
2017,Autumn,117.11440485546004,77.39738901062329,26.195458417806076,181.57348991875415,16.337946148107324,285.45844591357866,155.37803150094808,109.6724294434017,0.0,553.379086690816,7544.0
2017,Spring,93.32023968158326,58.617815285471735,31.569787058043197,127.80454957587258,23.24417060879551,216.51481100312046,96.23476251782938,86.97483600789052,0.0,537.0285451205675,7462.0
2017,Summer,19.543070250497582,10.144142209994172,5.515375865418657,18.506787760394708,3.2354899016394914,51.01182781485338,12.99141189497605,27.204771186131534,0.0,226.62746236899414,7380.0
2017,Winter,155.7134185218562,111.00672244660578,37.86286293041905,235.16401653339994,23.819643133129798,373.0622445083589,197.3011536029809,142.57213935925995,0.0,1280.7790050409005,7544.0
2018,Autumn,176.69485171867552,123.06500844024762,45.79704055301521,274.16201165718894,31.962487740272017,409.77389910669723,228.36497110417372,154.46009954448428,8.64637810921592,818.1309217784124,7544.0
2018,Spring,54.561163512575156,33.38627644430184,20.75620431085667,66.4267178015402,14.865804594148374,116.42168468247645,45.67051349068353,58.25786154846946,0.8684799887795145,696.2324400424571,7462.0
2018,Summer,60.63916768502315,41.123264793441194,24.391302789494006,79.24093627418817,18.83947713729675,130.694029711374,54.849633484694166,52.19632206650156,3.6932131199416918,454.24569459730543,7380.0
2018,Winter,147.54543075041616,71.79594382259543,35.65651985636665,197.3566510899288,23.437328659033835,405.57206594152933,161.70013123356213,165.99177966528876,3.877560699877974,901.086773060692,7544.0
2019,Autumn,91.89938995920384,52.64550354629941,25.39439714920578,132.88461941075323,16.90493682815486,230.1700648060362,107.49022226154744,90.25780719711707,3.0084423157789457,511.3665880484265,7544.0
2019,Spring,32.01790102568173,21.129970559577224,13.97370460368782,37.6722064825248,9.8728689292325,68.00569723763007,23.69850187883698,30.25711122290107,2.485740843929727,225.50983220963437,7462.0
2019,Summer,34.58209074424227,23.88557925806586,15.553660991630434,43.356254859798604,11.732403609316249,70.79258598817152,27.80259386816817,29.47849012286842,0.23384508005200094,255.32145942774008,7380.0
2019,Winter,93.7477819591128,52.262144834003266,28.22252681128772,120.79794286224708,19.982886320016963,232.51041056937538,92.57541605095936,100.91469681570415,3.5984420229886798,826.2484243459766,7544.0
2020,Autumn,26.77391955139167,22.69249185141794,15.651945483286823,34.09349910080769,11.003723224908194,48.7763372802874,18.441553617520867,16.231518837586687,2.442632557758246,134.27223585984814,7544.0
2020,Spring,20.70710743095974,17.318936677941544,12.074143855673906,25.26498335328689,8.530126690468128,36.47094507423041,13.190839497612984,13.260028649332762,2.359162899222812,115.02828119074157,7462.0
2020,Summer,16.92680515234241,14.417199639255458,9.99381321288039,20.871455410119104,6.696370951759106,29.70850284410832,10.877642197238714,10.82966322228213,1.879739218980402,106.08940433835063,7462.0
2020,Winter,33.90189861183679,25.97404998775451,15.910942990488437,45.19883790320679,9.966623355677049,68.63988696400506,29.28789491271835,25.633345375130208,2.4017308654687386,177.83542734133124,7544.0
2021,Autumn,34.99596061108624,26.19762000495467,16.30808969917023,47.37482946108702,11.871146773282469,71.38487263183343,31.066739761916786,25.47265644520654,2.5875955053869317,199.4711912909854,7544.0
2021,Spring,19.265767712649165,16.158744667102646,11.174518336295371,23.376386433408946,7.909999728721137,34.37320595677508,12.201868097113575,12.4464104272225,2.065947857232686,128.88182200098387,7462.0
2021,Summer,22.19864267895579,17.227633541949672,11.44170872576703,27.854754434632518,7.693842810715306,43.812662407451455,16.41304570886549,16.09730337909816,1.5327237940381948,125.80032605368476,7340.0
2021,Winter,40.875552402701,29.33654413412184,17.9481222021357,52.21269051302303,12.20009497870933,90.60793349118073,34.26456831088733,33.398513927963734,0.2574547754473035,224.50377802949964,7544.0
2022,Autumn,30.42800574837935,23.300981861933245,14.81781463342512,40.33295297745099,10.233190800717624,61.94724525480173,25.515138344025864,21.58119571665207,2.7152325174575673,147.47045786232496,7544.0
2022,Spring,24.271059690324925,20.550721193156,14.861295202997292,28.803071654255504,10.552560739759324,43.57911296783469,13.941776451258212,14.524254213069009,2.8076626664622713,108.17826607150822,7462.0
2022,Summer,19.350240482002423,15.878606327226828,11.447213758094458,23.637604659945474,8.519533458193852,35.375799411186705,12.190390901851016,11.86504863775727,2.2532695367680424,92.01624132734091,7380.0
2022,Winter,40.08876029375295,29.947124165101528,19.290682828909667,51.42072525042242,13.82145166864199,82.59558403376731,32.130042421512755,29.618811529175844,3.0661383859226663,213.13328291993318,7544.0
2023,Autumn,23.67175182937671,19.023295827480524,13.983310731546794,28.805068996717864,11.22309045697989,43.35475907168985,14.82175826517107,14.49601803183469,5.275162084927842,126.92129303104593,2624.0
2023,Spring,17.8601867856751,14.741208254065441,10.520067705854785,22.067069505027348,7.619159880789539,32.6384235194155,11.547001799172563,10.921786409473528,1.8477835928010222,82.69051932074944,7462.0
2023,Summer,21.78170089188981,16.71374566952339,11.899637207226132,26.329687626750562,8.754727667601095,43.64037784818302,14.43005041952443,15.115392522152835,2.9286388869564917,110.19435675052591,7380.0
2023,Winter,34.1009197302935,23.114466785045806,15.351819371289821,42.741930883494206,11.356956974850618,75.85010450839037,27.390111512204385,28.193944725027038,2.393684361834403,191.6364453791175,7537.0
2024,Autumn,27.70769825068957,20.228171138114703,12.570816831924958,37.36785725294567,8.292784592356384,58.236656741428305,24.79704042102071,21.375477273715372,1.0487650747847965,158.16112863831222,7544.0
2024,Spring,17.548563189523463,13.911583884862466,10.009856721282517,20.83719685685992,7.290199066645187,31.995021387842826,10.827340135577401,12.155356478447743,1.9576895660122773,113.34043392707827,7442.0
2024,Summer,19.620175782253156,15.486958382382454,10.64794363792032,25.607910014713298,7.827935899484828,37.834161759064955,14.959966376792977,12.647550535133197,1.2900648327374142,87.22316380271877,6888.0
2024,Winter,34.04975379396144,22.52025499416277,14.401343007008904,44.39766865260708,10.035376529771156,77.24175432599621,29.996325645598176,29.043633543201903,3.1652689358452335,211.64191821299028,7544.0
2025,Summer,16.66259082851817,14.253652036444464,10.716757259388032,20.411767387429336,8.288195019190425,27.7093914036186,9.695010128041304,8.88466634065027,2.395904585839048,80.93885384141686,2460.0
