year,month,date,t2m_c_mean,t2m_c_daily_min_mean,t2m_c_daily_max_mean
1980,1,1980-01,18.689343247134502,9.635244411892359,29.14594523111981
1980,2,1980-02,18.507455177843042,11.467473347981752,25.799846055772605
1980,3,1980-03,17.644125755884374,9.037399291992244,25.862434217664998
1980,4,1980-04,14.795348670394333,3.067066107855908,25.091299438476597
1980,5,1980-05,12.425909752429902,0.35177747938365656,23.028594122992615
1980,6,1980-06,8.404968803782538,-1.861727566189188,18.33282877604171
1980,7,1980-07,8.297717296550218,-2.460399119059275,19.04527672661675
1980,8,1980-08,11.493505390855432,-1.267306772867812,22.64745652940536
1980,9,1980-09,13.733718119491812,3.746400451660179,25.556503634982676
1980,10,1980-10,17.974774357238573,3.263446723090283,29.48456726074221
1980,11,1980-11,17.85478487038324,5.485925971137192,27.431211853027378
1980,12,1980-12,18.807568280984526,10.167736138237842,28.28662651909724
1981,1,1981-01,19.840719891164213,12.475973510742222,29.442682902018248
1981,2,1981-02,18.291794200170614,9.172810872395871,25.517292277018214
1981,3,1981-03,16.513631838453307,5.68023139105901,24.40590955946186
1981,4,1981-04,15.507578425937254,3.022297498914952,25.495258924696202
1981,5,1981-05,11.358417423936544,1.1844601101345233,20.9718204074436
1981,6,1981-06,7.953333020151433,-2.70459255642362,18.20947808159724
1981,7,1981-07,9.743952800609463,-0.7511922200520758,20.566059705946202
1981,8,1981-08,10.155679372789734,-2.26562771267362,22.636757744683166
1981,9,1981-09,13.062409405178528,-1.094429863823791,27.30700191921659
1981,10,1981-10,14.317642613437158,3.3490831163194343,24.99621005588108
1981,11,1981-11,19.99645992561625,10.077265421549498,32.15014309353296
1981,12,1981-12,18.68733518548055,10.268782891167518,28.241131761338977
1982,1,1982-01,19.632111398749316,12.536694505479602,27.519093492296008
1982,2,1982-02,19.80448577366178,9.418480088975684,28.793315124511707
1982,3,1982-03,17.705383076092403,8.557160780164963,26.031837632920997
1982,4,1982-04,13.264035555050725,1.5589041815863425,24.91816541883685
1982,5,1982-05,12.280590279783155,3.122472127278627,21.968544514973985
1982,6,1982-06,9.17910257410125,-2.6677263047959627,19.32874450683596
