season_year,season,temperature_c_mean,temperature_c_median,temperature_c_q10,temperature_c_q90,min_value,max_value
2014,Autumn,15.115155848903946,15.448815748426654,8.613848402235226,21.22582550048825,3.904266018337694,24.501016913520004
2014,Spring,17.860562077275038,17.244902377658406,10.881319546169715,26.02131785074871,2.801362440321157,30.81921793619796
2014,Summer,20.222910175215738,19.546435377332926,15.866956753200952,25.7964394463433,11.61634792751738,30.344735378689226
2014,Winter,10.512292875759854,10.086486985948367,2.9357917277018775,18.43109737820094,-3.762568834092861,23.94922620985244
2015,Autumn,16.719189659984803,16.3402084350586,10.746095716688377,23.00068352593319,5.2896908230251825,28.54194098578563
2015,Spring,19.56521943123011,19.280255296495227,11.513976643880229,28.339033338758668,4.342540486653661,34.57677544487848
2015,Summer,20.40512778184052,19.85437893337675,15.198406880696632,26.70901343451608,11.120564439561631,30.984352959526916
2015,Winter,11.948397224843996,11.444386291503946,4.29186113145617,20.00002251519097,-2.0099355061848883,28.006563991970495
2016,Autumn,16.47600788002814,16.325479465060766,9.419235772026918,23.84320153130426,4.400618150499099,28.69839409722221
2016,Spring,19.14570876227486,18.707626173231375,11.894868265787771,26.950457526312956,5.161604817708337,34.01955261230472
2016,Summer,21.9892630360114,21.18352949354386,16.56990390353734,28.58752363416884,13.495774671766526,36.71637437608507
2016,Winter,11.191971222022126,10.33631184895836,3.919706590440552,19.041563924153607,-3.3850548638237683,27.37122022840714
2017,Autumn,15.731843762850817,15.586709425184496,8.526361050075952,23.03121222601996,2.252654012044274,27.819110785590283
2017,Spring,18.1691767727111,17.530239189995683,10.941875033908437,26.668962910970073,3.184193250868077,31.684238009982664
2017,Summer,19.65319158907291,18.840603129069024,15.189190334743955,25.14515329996745,8.25824347601997,30.781347317165853
2017,Winter,11.801539476827736,11.200636630588091,5.022552863227003,19.441517537434873,-1.8863060845268933,24.863318549262203
2018,Autumn,15.721395026312944,15.36041429307727,9.453757697211358,22.171606886121957,3.910998535156295,27.72833930121527
2018,Spring,18.92331437470713,18.722022332085515,10.575319179958791,27.678353678385424,0.86305711534294,33.930155436197936
2018,Summer,20.18409330313099,19.356043667263464,14.90811462402342,26.67093373616536,10.563583034939256,33.37262980143231
2018,Winter,11.418406736217271,11.071400960286468,3.997257961697034,19.705984666612437,-1.3122521294487228,25.660245090060755
2019,Autumn,16.831908349637644,16.637268744574698,10.464515109592035,23.52524197048614,4.363450453016526,29.85219421386722
2019,Spring,19.695373430046367,19.421275329589832,11.583554619683184,28.013588833279098,2.9489010281033075,33.118133884006056
2019,Summer,20.851697703702964,20.024222310384147,15.564414638943171,28.001092766655827,10.442533365885424,34.38175760904949
2019,Winter,12.596730505748278,11.952889336480013,5.047057969835118,20.842963392469624,-1.8616115993923472,25.865861341688344
2020,Autumn,15.134504334822958,14.999794514973985,8.724937269422787,21.495447184244817,0.1750020345052121,26.033770073784694
2020,Spring,18.618712796066472,18.147542148166252,11.727357347276518,26.202554558648018,5.697055053710926,32.23793233235676
2020,Summer,19.902419413907005,19.348952229817712,14.694219631618877,26.07310685899524,9.964262220594662,30.1539099799262
2020,Winter,10.419523158511112,9.840057203504784,3.027436998155395,18.616135186089412,-3.0017378065321054,26.283462185329824
2021,Autumn,15.992817197176198,15.651455518934457,9.175026550292978,23.11934766981335,2.3597849527994867,27.966268581814234
2021,Spring,18.05945624932557,17.396391635470934,11.028527933756532,26.1729490492079,5.788115437825525,31.4337158203125
2021,Summer,19.51518539428712,18.874009195963534,15.040580952962268,24.919266153971364,9.31237759060332,29.222755262586816
2021,Winter,10.739397986499595,10.24976281060114,3.484527723524321,19.057760077582472,-3.2854488796658075,25.20760633680555
2022,Autumn,14.449913277833373,14.562134128146738,7.949856940375453,20.677649197048623,1.06140407986112,25.304307725694457
2022,Spring,18.894782622868725,18.213820393880212,12.60451694064671,26.25589250352649,5.183430311414952,32.78423733181427
2022,Summer,19.002932264225976,18.32662234836158,14.704255744086373,24.403328586154544,10.105194769965294,27.74437628851996
2022,Winter,10.60318512571032,9.961856587727851,4.045503438313801,17.75942511664501,-2.9854159884982323,24.636449178059877
2023,Autumn,16.03732976606312,15.664470079210076,9.848789299858982,23.120119425455776,3.624073621961827,27.23354254828564
2023,Spring,19.0033765857279,18.77356380886505,10.65773885091151,27.607495897081183,4.357803005642381,32.440175374348996
2023,Summer,19.341694630124454,18.714989725748723,14.91507215711805,24.88406263563369,10.620184326171852,29.920371500651015
2023,Winter,10.98902437667725,10.29231262207034,3.9747975667317976,18.87239210340714,-1.887307061089416,26.790626695420997
2024,Autumn,17.439452067681,17.19802443257879,10.294320198659198,24.468216165264057,5.189857465765499,31.87443772219541
2024,Spring,18.915279171575495,18.61140928804207,11.021472339415904,27.23559210273664,2.487197087320112,33.590866671787296
2024,Summer,20.706366333968912,20.095475563306536,15.433483886718774,26.93563504451224,9.402228606149096,31.65480041503912
2024,Winter,11.855833056632717,11.280881886000088,4.282435522186654,20.106574806470615,-2.936593147877886,26.98105585334008
2025,Summer,22.385616646336892,21.067759378840464,16.86916867374041,30.722449090507663,13.508751755617991,34.13256414177715
