year,month,n_granules,aod_550_mean,date
2012,9,44503,0.1556589655069074,2012-09-01
2012,10,45124,0.185992544376717,2012-10-01
2012,11,40914,0.20584193316930713,2012-11-01
2012,12,40078,0.23009264622356726,2012-12-01
2013,1,41265,0.16038776223209317,2013-01-01
2013,2,39978,0.1343401116451297,2013-02-01
2013,3,46322,0.16326177334579484,2013-03-01
2013,4,44065,0.07329010405508146,2013-04-01
2013,5,45163,0.1153674441393993,2013-05-01
2013,6,43702,0.06622066838276972,2013-06-01
2013,7,45068,0.08082318875198587,2013-07-01
2013,8,45337,0.1062210344918563,2013-08-01
2013,9,44601,0.16902594241203275,2013-09-01
2013,10,45101,0.15669374177823975,2013-10-01
2013,11,41012,0.15250886328691093,2013-11-01
2013,12,40081,0.1934664659130183,2013-12-01
2014,1,41177,0.15638189735890978,2014-01-01
2014,2,39801,0.16384232489643372,2014-02-01
2014,3,46122,0.14734558138986734,2014-03-01
2014,4,43932,0.08656958394958152,2014-04-01
2014,5,45269,0.08317265745249448,2014-05-01
2014,6,43637,0.059941254841002385,2014-06-01
2014,7,45073,0.08950602567525079,2014-07-01
2014,8,45358,0.0988351211893843,2014-08-01
2014,9,44562,0.14766785871365215,2014-09-01
2014,10,44904,0.16005910499966364,2014-10-01
2014,11,40993,0.19382562572467923,2014-11-01
2014,12,40080,0.1994732773171945,2014-12-01
2015,1,41185,0.19654965552724565,2015-01-01
2015,2,39819,0.14639538752341785,2015-02-01
2015,3,46228,0.1310634240082967,2015-03-01
2015,4,43926,0.10864686431667153,2015-04-01
2015,5,45256,0.10501114557889879,2015-05-01
2015,6,43648,0.08602291330432338,2015-06-01
2015,7,45099,0.09814621243427145,2015-07-01
2015,8,45431,0.14062106281987172,2015-08-01
2015,9,44451,0.16685169110445794,2015-09-01
2015,10,45306,0.20716910062927624,2015-10-01
2015,11,41097,0.0975928661302193,2015-11-01
2015,12,40078,0.17637863793181977,2015-12-01
2016,1,41222,0.15508209245395324,2016-01-01
2016,2,34939,0.1869656079640369,2016-02-01
2016,3,46051,0.11658088959262407,2016-03-01
2016,4,43995,0.13664931176968523,2016-04-01
