year,month,temperature_c_mean,temperature_c_median,temperature_c_q10,temperature_c_q90,min_value,max_value
2014,1,20.86899344787234,20.25529988606769,16.27729732937284,26.76608829074437,12.910462443033907,30.344735378689226
2014,2,19.507603694774495,18.893151516384563,15.541776869032134,24.422108866373737,11.61634792751738,28.12612508138028
2014,3,17.33016754113931,16.782549201117632,13.235234442816855,22.076271870930977,9.746647135416652,24.46287265353732
2014,4,14.53463808883857,13.940180630154089,8.703662245008667,20.80871192084418,4.51849365234375,23.50133497450088
2014,5,13.461935537377006,12.705124749077696,7.2464662000868145,20.66725958930126,3.904266018337694,24.501016913520004
2014,6,10.213059898188098,9.488358730740003,3.093287455240886,17.72452172173399,-2.439366997612808,23.85505405002175
2014,7,9.0099945095705,8.337730238172753,1.3574518500434407,17.1827208794488,-3.762568834092861,21.734098985460037
2014,8,12.304171542825108,11.75524020724825,5.030121256510415,19.856292690700975,-1.4988589816623517,23.94922620985244
2014,9,17.574047262874664,17.306147257487055,9.231020541720936,26.94907226562502,2.801362440321157,30.2268035888672
2014,10,18.4373583539555,18.03705902099611,11.239530266655862,27.028891737196183,5.645743476019959,30.81921793619796
2014,11,17.551054072438944,16.710746595594657,12.3782784356011,24.503799404568145,7.613036770290819,27.711677720811625
2014,12,19.42932163407157,18.702233378092473,14.724448242187515,25.513565300835527,11.120564439561631,29.97167392306858
2015,1,20.5206874095411,19.95798068576391,15.63479498969186,26.489002855088952,12.96107245551218,29.091025119357653
2015,2,21.357543571916217,20.91955227322049,15.525654296875029,28.067403632269947,11.483399793836838,30.984352959526916
2015,3,18.714023569578774,18.069608730740015,13.98947431776259,24.83272288004556,10.053070068359377,28.54194098578563
2015,4,16.06009975150781,15.469343227810327,10.808492601182753,22.18336836073135,6.645759412977384,25.05980529785154
2015,5,15.362184694078245,14.541724310980925,9.074739278157534,22.403193596733953,5.2896908230251825,25.398610432942743
2015,6,9.686563780513822,9.17186567518445,3.58310723198789,16.841655476888043,-1.1195061577690808,21.2493906656901
2015,7,10.814755593120992,10.191395738389758,4.189701741536487,18.26170013427735,-0.3561520046657733,20.989665052625924
2015,8,15.270909931725228,15.155972968207465,6.491803554958767,24.562976175944023,-2.0099355061848883,28.006563991970495
2015,9,17.0385339609782,16.36042717827692,9.27114888509115,26.177916158040347,4.342540486653661,30.23967658148871
2015,10,21.28164109078503,20.957103644477,13.832150844997846,29.26155975341797,8.589762030707448,32.67357415093318
2015,11,20.318269186608596,20.307655334472656,12.613091905381964,28.89319786919492,6.381887139214427,34.57677544487848
2015,12,23.13612767382478,22.433819071451836,17.215914408365883,29.7684966023763,14.805328369140623,34.31302931043837
2016,1,21.30346664100566,20.438671366373683,16.049087287055112,27.18758053249786,13.495774671766526,36.71637437608507
2016,2,21.496396983354952,20.759507242838534,16.62776285807294,27.566006300184483,14.154437255859364,30.210177273220495
2016,3,19.178858589527863,18.663906521267364,13.943589477539104,25.152296074761303,8.763116455078091,28.69839409722221
2016,4,17.484722716720025,16.81275821261937,11.304484083387592,24.55012122260199,7.654918755425342,26.881077406141515
2016,5,12.796981522116909,12.288834635416691,7.344317593044735,18.83437869601779,4.400618150499099,22.4800994873047
2016,6,10.845751079512244,9.595633104112409,5.359664611816458,17.875239393446225,1.1223185221354015,20.83993496365019
2016,7,9.397619364110671,8.834859042697502,2.6172590128581077,17.050513814290365,-3.3850548638237683,22.058210923936656
2016,8,13.321374830749598,12.577068074544258,4.798214382595512,22.21098385281033,0.1008826361762089,27.37122022840714
2016,9,17.853456971439325,17.435650126139336,9.956954583062103,26.218577507866797,5.693957519531239,29.890003797743077
2016,10,19.84041776531772,19.43746914333772,12.110867411295606,28.268226182725726,5.161604817708337,34.01955261230472
2016,11,19.72009458329944,18.9320068359375,14.267890794542092,26.333078952365465,10.357253011067712,31.63549363878036
2016,12,20.675378834987637,19.99323662651912,15.510670640733505,27.13497121175132,12.832491726345497,30.781347317165853
