year,month,pm25_mean,pm25_median,pm25_q10,pm25_q90,min_value,max_value
2016,6,16.388418472875824,13.78720382305687,4.924488867967643,34.692654684074746,0.0,48.812923890951566
2016,7,22.202590160402146,12.505541764522397,5.096545954494594,49.632703553907746,0.0,217.8029328857834
2016,8,18.391262828281892,13.597809066768516,5.345581570555151,34.87871922221059,0.0,196.2766075481481
2016,9,12.868065682154915,11.249124845300264,4.941460618468342,22.057024924475417,0.0,83.49412129204072
2016,10,15.480573565463638,13.443837359589525,5.375001141607946,27.090855931205105,0.0,115.9091880253982
2016,11,12.542321154007048,11.396944516333791,5.323592319109812,21.314983269003456,0.0,44.108469902189775
2016,12,10.2176823346891,8.58576556858828,3.362690134891886,19.331784993316717,0.0,55.68369205049679
2017,1,11.24997378534876,6.29440339166693,2.5282863170571743,18.88853024758838,0.0,147.91598783421458
2017,2,39.04924938655746,21.656293715575607,9.523868326456206,95.08970814172594,0.0,226.62746236899417
2017,3,69.92003429436059,47.38890879707469,13.29267625885896,164.57187104361557,0.0,280.30436392502736
2017,4,113.38186534826558,94.83191339890814,18.962055057760207,254.5975719342025,0.0,417.3028309231506
2017,5,167.9209104235219,141.80456576494947,22.822705093316333,368.0495165798885,0.0,553.379086690816
2017,6,174.1579317586189,125.22921557853388,29.69419353823136,417.0313218310184,0.0,994.7622612134392
2017,7,168.24283581482712,138.2602326644316,26.74831791274266,376.1944548421944,0.0,672.9238442368603
2017,8,125.3344722900826,79.11519152624071,19.853905131893814,302.09256137298394,0.0,1280.7790050409003
2017,9,101.57971774521292,62.86276811915916,23.16653505610807,242.85697686711777,0.0,537.0285451205675
2017,10,96.91525412096613,64.0477750835089,27.182341984126445,223.153219390217,2.9439643885080633,496.01095060307455
2017,11,81.34591336392464,49.45865351456947,20.94325618228455,186.7428179134724,5.14751263835933,498.67292134947024
2017,12,74.11819601192721,48.19860011961141,21.045459542589334,164.38849985871246,6.152058281608893,454.24569459730543
2018,1,46.314529173860485,32.616287243697045,16.43327769930745,95.56232476790264,3.693213119941692,372.0465767943236
2018,2,61.57537896045233,42.67400819038322,20.385681723885583,129.00557531627152,9.528758431870829,306.0384815311268
2018,3,122.21876552084296,70.75674501012284,26.741247547936208,291.5755211155067,8.64637810921592,494.67182459641026
2018,4,185.89918435274183,141.09055585392457,35.60165565429631,413.52670905325795,16.22414667569781,577.5026990634684
2018,5,222.2635192383794,169.08568166120227,37.94721356288077,510.0452258287848,13.219942747337672,818.1309217784124
2018,6,272.5171524981033,208.27285304938837,45.100110203686825,595.205035289417,7.956347102523209,901.086773060692
2018,7,115.8518408533522,71.57650772936765,23.17246456256656,280.9357784354479,3.877560699877974,516.9429361838131
2018,8,58.298644762621535,42.2889285982382,19.94514059552225,111.81693120822554,4.504657296750408,413.3079519655999
2018,9,80.27231803243704,51.728191371361945,19.70633013351849,178.20392726592286,0.8684799887795145,696.2324400424571
2018,10,52.5887407612107,35.28495273741328,16.226945974951747,111.10469213366952,2.5665940484032035,459.83168862361566
2018,11,30.8881791691232,24.302354248653465,12.808220207515522,57.34919968657638,2.8561281886560703,198.0256248893616
2018,12,31.460718753096423,22.38992881696224,11.385856442285125,64.46651748494612,0.2338450800520009,187.4204422427703
2019,1,31.10010438291441,21.81906416226936,11.502961420990667,61.915236507012686,4.564181101439037,246.66111751405248
2019,2,41.892951777338155,28.684932924687264,12.673708817454957,88.42840825396846,0.6042892681972053,255.32145942774008
