year,month,pm25_mean,pm25_median,pm25_q25,pm25_q75,pm25_q10,pm25_q90,pm25_iqr,pm25_std,pm25_min,pm25_max,pm25_count
2016,6,16.388418472875824,13.78720382305687,8.02133906305449,23.08451911676894,4.924488867967643,34.692654684074746,15.06318005371445,10.536587439108725,0.0,48.812923890951566,162.0
2016,7,22.202590160402142,12.505541764522395,7.735638352102114,24.05896589644604,5.096545954494594,49.632703553907746,16.323327544343925,27.300046227096225,0.0,217.8029328857834,1411.0
2016,8,18.391262828281892,13.597809066768516,8.191765556484999,21.9411477704494,5.345581570555151,34.87871922221059,13.749382213964402,18.265775960579262,0.0,196.27660754814806,2542.0
2016,9,12.868065682154917,11.249124845300264,7.586002663646678,15.630398855556937,4.941460618468342,22.057024924475414,8.04439619191026,8.861944281014436,0.0,83.49412129204072,2460.0
2016,10,15.480573565463638,13.443837359589523,8.706054817235572,20.172400194695683,5.375001141607946,27.090855931205102,11.466345377460112,10.03957179032817,0.0,115.9091880253982,2542.0
2016,11,12.542321154007047,11.396944516333791,7.8615836575688895,16.153524808369358,5.323592319109812,21.314983269003456,8.291941150800469,6.676849434822356,0.0,44.108469902189775,2460.0
2016,12,10.2176823346891,8.58576556858828,5.329818970782713,13.112641707489448,3.362690134891886,19.331784993316717,7.782822736706735,6.984807005593015,0.0,55.68369205049679,2542.0
2017,1,11.24997378534876,6.29440339166693,3.7660194877139253,10.33581487064339,2.5282863170571743,18.88853024758838,6.569795382929464,17.72832902353339,0.0,147.91598783421458,2542.0
2017,2,39.04924938655746,21.656293715575607,13.148918535185098,55.086288487980426,9.523868326456206,95.08970814172594,41.93736995279533,37.73583413197358,0.0,226.62746236899414,2296.0
2017,3,69.92003429436059,47.38890879707469,18.201013243576917,107.87908993465251,13.29267625885896,164.57187104361557,89.6780766910756,62.12795214526567,0.0,280.30436392502736,2542.0
2017,4,113.38186534826558,94.83191339890814,28.165677892552857,178.2421135815709,18.962055057760207,254.59757193420253,150.07643568901804,92.86498935363274,0.0,417.3028309231506,2460.0
2017,5,167.9209104235219,141.80456576494947,38.32381676962025,280.6167890193697,22.822705093316333,368.0495165798885,242.29297224974948,136.6324770093099,0.0,553.379086690816,2542.0
2017,6,174.1579317586189,125.22921557853387,47.05819474264234,250.87245211134012,29.69419353823136,417.0313218310184,203.81425736869778,155.8926813897361,0.0,994.7622612134392,2460.0
2017,7,168.24283581482712,138.2602326644316,42.148877755520374,266.94618399530486,26.74831791274266,376.19445484219443,224.7973062397845,139.69611645238274,0.0,672.9238442368603,2542.0
2017,8,125.3344722900826,79.11519152624071,27.800194385845927,187.7356098954299,19.853905131893814,302.09256137298394,159.93541550958395,126.02407694402925,0.0,1280.7790050409005,2542.0
2017,9,101.57971774521292,62.86276811915916,30.82836960070031,147.24524929258325,23.166535056108074,242.85697686711774,116.41687969188294,94.88291296534041,0.0,537.0285451205675,2460.0
2017,10,96.91525412096611,64.0477750835089,35.71004364006241,125.77637119849129,27.182341984126445,223.153219390217,90.06632755842888,87.56313351436113,2.9439643885080633,496.01095060307455,2542.0
2017,11,81.34591336392464,49.45865351456947,28.28537704912238,110.48271986169313,20.94325618228455,186.7428179134724,82.19734281257075,76.12762767433583,5.14751263835933,498.67292134947024,2460.0
2017,12,74.11819601192721,48.19860011961141,27.944297576764345,100.13254553725278,21.045459542589334,164.38849985871246,72.18824796048844,64.24416699076973,6.152058281608893,454.24569459730543,2542.0
2018,1,46.314529173860485,32.616287243697045,20.311775987653828,61.42537938120978,16.43327769930745,95.56232476790264,41.11360339355595,35.94346115531229,3.6932131199416918,372.0465767943236,2542.0
2018,2,61.57537896045233,42.67400819038322,26.75165832445058,82.4509305958215,20.385681723885583,129.00557531627152,55.69927227137092,48.25032596756273,9.528758431870827,306.0384815311268,2296.0
2018,3,122.21876552084295,70.75674501012284,35.06084373255519,189.42634565195686,26.741247547936208,291.5755211155067,154.36550191940168,108.08142046726192,8.64637810921592,494.67182459641026,2542.0
2018,4,185.89918435274183,141.09055585392457,50.17923902036396,300.4143051244822,35.60165565429631,413.52670905325795,250.23506610411826,148.11944374989926,16.22414667569781,577.5026990634684,2460.0
2018,5,222.2635192383794,169.08568166120227,60.32136397220275,343.00227369499225,37.94721356288077,510.0452258287848,282.6809097227895,181.01044422244937,13.219942747337672,818.1309217784124,2542.0
2018,6,272.5171524981033,208.27285304938835,76.30793385205746,440.1003109294904,45.100110203686825,595.205035289417,363.7923770774329,212.7749147551462,7.956347102523209,901.086773060692,2460.0
2018,7,115.8518408533522,71.57650772936765,33.46256752032253,172.08581172011552,23.17246456256656,280.9357784354479,138.623244199793,106.24103755085238,3.877560699877974,516.9429361838131,2542.0
2018,8,58.298644762621535,42.2889285982382,26.381383402615747,70.23140168572493,19.94514059552225,111.81693120822554,43.850018283109186,50.86747834440293,4.504657296750408,413.3079519655999,2542.0
2018,9,80.27231803243704,51.728191371361945,27.87997439750274,101.36449628379734,19.70633013351849,178.20392726592286,73.4845218862946,80.3367120551966,0.8684799887795145,696.2324400424571,2460.0
2018,10,52.5887407612107,35.28495273741328,21.55110203115275,70.0357646748601,16.226945974951747,111.10469213366952,48.48466264370735,45.502763472299016,2.5665940484032035,459.83168862361566,2542.0
2018,11,30.8881791691232,24.302354248653465,16.601849433656596,37.72102657579195,12.808220207515522,57.34919968657638,21.119177142135356,21.81899676281803,2.8561281886560703,198.02562488936158,2460.0
2018,12,31.460718753096423,22.38992881696224,14.927811260616426,38.10149044133263,11.385856442285123,64.46651748494612,23.173679180716203,25.795167361773274,0.23384508005200094,187.4204422427703,2542.0
2019,1,31.10010438291441,21.81906416226936,14.71649033404696,39.744866406557286,11.502961420990669,61.915236507012686,25.028376072510326,24.846793770615403,4.564181101439037,246.66111751405248,2542.0
2019,2,41.892951777338155,28.684932924687264,17.282059407473472,54.12919104394667,12.673708817454955,88.42840825396846,36.84713163647319,35.99033080812909,0.6042892681972053,255.32145942774008,2296.0
2019,3,55.951440813075855,35.54615610404163,19.865142795684786,78.57545274265914,13.629674817832,129.99886415890123,58.71030994697435,50.030188044839555,3.0084423157789457,279.9349155898549,2542.0
2019,4,79.725804178003,45.760786339708545,24.423931151045068,107.90441470257625,16.761551305895985,201.35088115799027,83.48048355153118,80.04033350915017,3.2675695995119614,413.3891549757279,2460.0
2019,5,139.62822857101008,115.45116206635751,39.72805961128555,217.6715226526609,26.32928626575484,297.41659309715595,177.94346304137537,108.4439866992221,8.109448292368773,511.3665880484265,2542.0
2019,6,147.9831401648012,102.85826262518711,46.34165625597794,223.9176480473431,27.58427126372873,334.7685004830334,177.57599179136517,128.89824876276387,4.290663687592874,826.2484243459766,2460.0
2019,7,89.86476454661776,55.89403210356417,29.08925886493727,125.8992483599286,19.887075562398703,195.8231861793208,96.80998949499133,88.04908141151743,5.687909903756989,671.217514116926,2542.0
2019,8,45.14496884997392,31.70905398082351,22.927462219366994,58.402693963006854,17.64945654241064,89.64234788996131,35.47523174363986,34.168418044962586,3.5984420229886798,284.01470549747154,2542.0
2019,9,48.2656930868784,31.506413136547994,20.850223428134576,63.90763364659226,14.572007211145232,107.146848029935,43.05741021845768,40.41816377907195,4.610493217973918,225.50983220963437,2460.0
2019,10,27.055204468678262,20.019751395112124,14.057318317930788,33.050295662644224,9.814776065379778,53.756160357264754,18.992977344713438,20.82915115224346,2.517033368057206,166.1983289453089,2542.0
2019,11,20.898228740055316,15.342177852936892,11.267223461922745,23.58607760381932,8.380210679239152,41.50207963959928,12.318854141896574,16.791793177227728,2.485740843929727,154.2018271021124,2460.0
2019,12,17.52763239339109,13.135091732234645,9.109111422421169,20.70222444754239,6.685627876953286,33.02154055153149,11.593113025121223,13.711148841607054,3.051914413495419,106.08940433835063,2542.0
2020,1,14.99852453763989,13.695172790689343,9.979030337102193,18.62937496573872,7.098356890312428,24.445196827444377,8.650344628636526,7.506632229784375,2.061442879645133,61.75147203836016,2542.0
2020,2,18.3458070345241,16.853528453162006,11.70613747816582,23.435273858259855,5.721612623004874,31.97479255043426,11.729136380094035,10.022520508671823,1.879739218980402,67.15473715574333,2378.0
2020,3,23.92656532682145,20.997449112769573,15.384095980025975,30.68482825095377,11.474494079685918,41.52981250517595,15.300732270927796,12.06495035666593,2.4934281135540024,80.80161032571945,2542.0
2020,4,22.870217591206224,19.1579838489002,13.465375139695915,27.885246932048457,8.794014200602236,42.06604186352845,14.419871792352541,14.79185328641196,2.621264965769071,131.00937770524558,2460.0
2020,5,33.39904986646394,28.578870552127434,20.085611123039808,42.56721389048415,13.976839542150488,60.19658962066808,22.48160276744434,18.916575268686074,2.442632557758246,134.27223585984814,2542.0
