year,month,temperature_c_mean,temperature_c_median,temperature_c_q25,temperature_c_q75,temperature_c_q10,temperature_c_q90,temperature_c_iqr,temperature_c_std,temperature_c_min,temperature_c_max,temperature_c_count
2014,1,20.86899344787234,20.25529988606769,17.496600596110056,24.11763432820642,16.27729732937284,26.76608829074437,6.621033732096365,4.0190339468778,12.910462443033907,30.344735378689222,744.0
2014,2,19.507603694774495,18.893151516384563,16.802306620279992,22.252487097846156,15.541776869032134,24.422108866373737,5.450180477566164,3.4705943545798346,11.616347927517381,28.12612508138028,672.0
2014,3,17.33016754113931,16.782549201117632,15.079958936903239,19.86134787665472,13.235234442816857,22.076271870930974,4.78138893975148,3.211611626708695,9.746647135416652,24.462872653537318,744.0
2014,4,14.53463808883857,13.940180630154089,11.113264634874113,18.629017639160168,8.703662245008667,20.80871192084418,7.515753004286054,4.5400857855817005,4.51849365234375,23.501334974500878,720.0
2014,5,13.461935537377006,12.705124749077697,9.097204420301637,17.79562445746531,7.2464662000868145,20.66725958930126,8.698420037163672,5.1120386377642895,3.904266018337694,24.501016913520004,744.0
2014,6,10.213059898188098,9.488358730740003,5.739859432644309,15.06195458306209,3.093287455240886,17.72452172173399,9.32209515041778,5.584955509798322,-2.439366997612808,23.85505405002175,720.0
2014,7,9.0099945095705,8.337730238172753,4.478753746880415,14.038535647922117,1.3574518500434407,17.1827208794488,9.559781901041703,5.969011246358267,-3.7625688340928605,21.734098985460037,744.0
2014,8,12.304171542825108,11.75524020724825,8.30747214423289,16.6192381117079,5.030121256510415,19.856292690700975,8.311765967475012,5.593091897849832,-1.4988589816623517,23.94922620985244,744.0
2014,9,17.574047262874664,17.306147257487055,12.81531270345053,22.334996371799036,9.231020541720937,26.94907226562502,9.519683668348506,6.494395302161372,2.8013624403211566,30.2268035888672,720.0
2014,10,18.4373583539555,18.03705902099611,13.961119333902985,22.717241414388,11.239530266655862,27.028891737196183,8.756122080485014,5.824663497703203,5.645743476019959,30.81921793619796,744.0
2014,11,17.551054072438944,16.710746595594657,14.500203789604996,20.72356414794919,12.3782784356011,24.503799404568145,6.223360358344195,4.41593829596861,7.613036770290819,27.711677720811622,720.0
2014,12,19.42932163407157,18.702233378092473,16.230452050103068,22.689076911078544,14.724448242187515,25.513565300835527,6.458624860975476,4.025020765035446,11.120564439561633,29.97167392306858,744.0
2015,1,20.5206874095411,19.957980685763914,17.012017907036693,23.982417382134344,15.634794989691859,26.489002855088952,6.970399475097651,4.048368150564576,12.96107245551218,29.091025119357653,744.0
2015,2,21.357543571916217,20.91955227322049,17.206618669297953,25.466069200303863,15.525654296875029,28.067403632269947,8.25945053100591,4.752572056775569,11.483399793836838,30.984352959526916,672.0
2015,3,18.714023569578774,18.069608730740015,15.422082434760227,21.776294030083548,13.98947431776259,24.832722880045562,6.354211595323321,4.109633272342461,10.053070068359375,28.54194098578563,744.0
2015,4,16.06009975150781,15.469343227810327,12.548506079779742,19.610048760308203,10.808492601182753,22.18336836073135,7.061542680528461,4.245813816614868,6.645759412977384,25.05980529785154,720.0
2015,5,15.362184694078245,14.541724310980925,11.460027906629776,20.23802108764643,9.074739278157534,22.403193596733953,8.777993181016654,5.051479356956466,5.2896908230251825,25.398610432942746,744.0
2015,6,9.686563780513822,9.17186567518445,5.665667046440973,13.763696882459897,3.58310723198789,16.841655476888043,8.098029836018924,4.947299342355962,-1.1195061577690808,21.2493906656901,720.0
2015,7,10.814755593120992,10.191395738389758,6.839654880099829,15.180271402994805,4.189701741536487,18.26170013427735,8.340616522894976,5.179735220729459,-0.35615200466577335,20.989665052625924,744.0
2015,8,15.270909931725228,15.155972968207465,10.353136020236576,20.51798027886288,6.491803554958767,24.562976175944026,10.164844258626303,6.5876021122856105,-2.0099355061848883,28.006563991970495,744.0
2015,9,17.0385339609782,16.36042717827692,12.241160329182918,21.850031619601808,9.27114888509115,26.177916158040347,9.60887129041889,6.1656169348685825,4.342540486653661,30.23967658148871,720.0
2015,10,21.28164109078503,20.957103644477,16.6880938212077,25.90604070027669,13.832150844997846,29.26155975341797,9.21794687906899,5.747575342486511,8.589762030707448,32.67357415093318,744.0
2015,11,20.318269186608596,20.307655334472656,15.302351548936613,24.645407528347448,12.613091905381964,28.893197869194918,9.343055979410835,6.216746068481706,6.381887139214427,34.57677544487848,720.0
2015,12,23.13612767382478,22.433819071451836,18.91741239759658,27.387979973687052,17.215914408365883,29.7684966023763,8.470567576090474,4.837392538588081,14.805328369140625,34.31302931043837,744.0
2016,1,21.30346664100566,20.438671366373683,17.599436018202013,24.329942406548398,16.049087287055112,27.18758053249786,6.7305063883463845,4.649262259750818,13.495774671766526,36.71637437608507,744.0
2016,2,21.496396983354952,20.759507242838538,17.911866845024974,24.78609110514327,16.62776285807294,27.566006300184483,6.874224260118297,4.096711706239268,14.154437255859364,30.210177273220495,696.0
