year,temperature_c_mean,temperature_c_median,temperature_c_q10,temperature_c_q90,min_value,max_value
2014,15.831498911493275,16.306880357530417,7.320049845377595,23.576584981282604,-3.762568834092861,30.81921793619796
2015,17.449932737655306,17.426834445529522,8.65287092420794,26.324563700358063,-2.0099355061848883,34.57677544487848
2016,16.973916112100337,17.138525729709215,7.800498623318134,25.571826070149733,-3.3850548638237683,36.71637437608507
2017,16.22741464329396,16.423446824815557,7.811789754231791,24.15123253716365,-1.8863060845268933,31.684238009982664
2018,16.748781777995916,16.749676683214005,7.717843187120235,25.583915608723967,-1.3122521294487228,34.38175760904949
2019,17.230987949226193,17.282016499837226,8.752581990559936,25.572184922960055,-1.8616115993923472,33.118133884006056
2020,16.058431434978782,16.4487269083659,7.184181722005241,24.29032884385851,-3.0017378065321054,32.23793233235676
2021,15.91903311986358,16.217862108018693,7.551330532497856,23.766444464789497,-3.2854488796658075,31.4337158203125
2022,15.754157333064368,16.002122836642826,7.39342803955077,23.579466518825956,-2.9854159884982323,32.78423733181427
2023,16.47222803414867,16.58088056776262,7.59602969699435,24.86778581407335,-1.887307061089416,32.440175374348996
2024,17.339580244114682,17.542239739921683,8.342534114537688,25.839288672972287,-2.936593147877886,34.13256414177715
