year,tmax_annual,tmin_annual,tmean_annual,diurnal_range_annual,n_days
2014,22.32779080325611,9.761853267954194,15.831498911493275,12.565937535301915,365
2015,24.23467380657226,10.981129954902745,17.449932737655303,13.253543851669516,365
2016,23.551659637432653,10.8299586005984,16.973916112100337,12.721701036834252,366
2017,22.672883585054592,10.127293323998776,16.22741464329396,12.545590261055812,365
2018,23.50058934970897,10.273328270295272,16.748781777995916,13.227261079413703,365
2019,23.84485040162435,10.857402805461925,17.230987949226193,12.98744759616242,365
2020,22.432366297617065,10.011443519244875,16.058431434978782,12.420922778372192,366
2021,22.315580147056647,9.949970819249737,15.919033119863583,12.365609327806911,365
2022,21.676331927388052,10.167828912604357,15.754157333064368,11.508503014783695,365
2023,22.848063625759558,10.358312508918392,16.47222803414867,12.48975111684117,365
2024,24.056958402480035,10.901955894488651,17.339580244114682,13.155002507991382,365
